City,Date,Day temperature,Night temperature
Актау,Сегодня 1 Мая 2021,+21°,+16°
Актау,2 Мая 2021,+21°,+16°
Актау,3 Мая 2021,+22°,+17°
Актау,4 Мая 2021,+23°,+18°
Актау,5 Мая 2021,+22°,+16°
Актау,6 Мая 2021,+22°,+17°
Актау,7 Мая 2021,+18°,+15°
Актау,8 Мая 2021,+22°,+14°
Актау,9 Мая 2021,+24°,+17°
Актау,10 Мая 2021,+21°,+16°
Актау,11 Мая 2021,+22°,+18°
Актау,12 Мая 2021,+23°,+19°
Актау,13 Мая 2021,+22°,+20°
Актау,14 Мая 2021,+21°,+17°
Актау,15 Мая 2021,+23°,+18°
Актау,16 Мая 2021,+23°,+17°
Актау,17 Мая 2021,+23°,+18°
Актау,18 Мая 2021,+23°,+17°
Актау,19 Мая 2021,+24°,+17°
Актау,20 Мая 2021,+23°,+17°
Актау,21 Мая 2021,+24°,+17°
Актау,22 Мая 2021,+24°,+17°
Актау,23 Мая 2021,+26°,+18°
Актау,24 Мая 2021,+26°,+19°
Актау,25 Мая 2021,+26°,+19°
Актау,26 Мая 2021,+25°,+19°
Актау,27 Мая 2021,+25°,+18°
Актау,28 Мая 2021,+25°,+19°
Актау,29 Мая 2021,+25°,+19°
Актау,30 Мая 2021,+25°,+19°
Актау,31 Мая 2021,+26°,+20°
Актау,1 Июня 2021,+27°,+21°
Актау,2 Июня 2021,+26°,+19°
Актау,3 Июня 2021,+26°,+19°
Актау,4 Июня 2021,+26°,+20°
Актау,5 Июня 2021,+28°,+21°
Актау,6 Июня 2021,+28°,+21°
Актау,7 Июня 2021,+28°,+21°
Актау,8 Июня 2021,+27°,+21°
Актау,9 Июня 2021,+28°,+21°
Актау,10 Июня 2021,+28°,+21°
Актау,11 Июня 2021,+29°,+21°
Актау,12 Июня 2021,+30°,+22°
Актау,13 Июня 2021,+29°,+22°
Актау,14 Июня 2021,+29°,+22°
Актау,15 Июня 2021,+30°,+23°
Актау,16 Июня 2021,+30°,+23°
Актау,17 Июня 2021,+29°,+23°
Актау,18 Июня 2021,+29°,+23°
Актау,19 Июня 2021,+30°,+24°
Актау,20 Июня 2021,+31°,+24°
Актау,21 Июня 2021,+31°,+24°
Актау,22 Июня 2021,+30°,+24°
Актау,23 Июня 2021,+30°,+24°
Актау,24 Июня 2021,+30°,+24°
Актау,25 Июня 2021,+30°,+24°
Актау,26 Июня 2021,+30°,+23°
Актау,27 Июня 2021,+30°,+24°
Актау,28 Июня 2021,+31°,+24°
Актау,29 Июня 2021,+31°,+24°
Актау,30 Июня 2021,+31°,+24°
Актау,1 Июля 2021,+30°,+24°
Актау,2 Июля 2021,+30°,+23°
Актау,3 Июля 2021,+31°,+25°
Актау,4 Июля 2021,+31°,+25°
Актау,5 Июля 2021,+32°,+25°
Актау,6 Июля 2021,+32°,+25°
Актау,7 Июля 2021,+32°,+26°
Актау,8 Июля 2021,+32°,+26°
Актау,9 Июля 2021,+32°,+27°
Актау,10 Июля 2021,+32°,+26°
Актау,11 Июля 2021,+31°,+26°
Актау,12 Июля 2021,+31°,+25°
Актау,13 Июля 2021,+31°,+24°
Актау,14 Июля 2021,+31°,+25°
Актау,15 Июля 2021,+32°,+24°
Актау,16 Июля 2021,+31°,+25°
Актау,17 Июля 2021,+32°,+25°
Актау,18 Июля 2021,+33°,+25°
Актау,19 Июля 2021,+33°,+26°
Актау,20 Июля 2021,+33°,+25°
Актау,21 Июля 2021,+33°,+25°
Актау,22 Июля 2021,+32°,+25°
Актау,23 Июля 2021,+33°,+25°
Актау,24 Июля 2021,+33°,+25°
Актау,25 Июля 2021,+33°,+26°
Актау,26 Июля 2021,+32°,+25°
Актау,27 Июля 2021,+33°,+25°
Актау,28 Июля 2021,+32°,+26°
Актау,29 Июля 2021,+32°,+26°
Актау,30 Июля 2021,+32°,+25°
Актау,31 Июля 2021,+32°,+25°
Актау,1 Августа 2021,+32°,+26°
Актау,2 Августа 2021,+32°,+25°
Актау,3 Августа 2021,+32°,+25°
Актау,4 Августа 2021,+32°,+25°
Актау,5 Августа 2021,+32°,+26°
Актау,6 Августа 2021,+31°,+24°
Актау,7 Августа 2021,+32°,+25°
Актау,8 Августа 2021,+32°,+25°
Актау,9 Августа 2021,+32°,+24°
Актау,10 Августа 2021,+31°,+24°
Актау,11 Августа 2021,+31°,+23°
Актау,12 Августа 2021,+31°,+24°
Актау,13 Августа 2021,+31°,+25°
Актау,14 Августа 2021,+31°,+24°
Актау,15 Августа 2021,+32°,+24°
Актау,16 Августа 2021,+32°,+23°
Актау,17 Августа 2021,+31°,+24°
Актау,18 Августа 2021,+31°,+24°
Актау,19 Августа 2021,+31°,+26°
Актау,20 Августа 2021,+31°,+24°
Актау,21 Августа 2021,+30°,+24°
Актау,22 Августа 2021,+30°,+23°
Актау,23 Августа 2021,+29°,+21°
Актау,24 Августа 2021,+29°,+22°
Актау,25 Августа 2021,+29°,+22°
Актау,26 Августа 2021,+29°,+21°
Актау,27 Августа 2021,+29°,+22°
Актау,28 Августа 2021,+29°,+22°
Актау,29 Августа 2021,+29°,+22°
Актау,30 Августа 2021,+28°,+22°
Актау,31 Августа 2021,+29°,+22°
Актау,1 Сентября 2021,+28°,+22°
Актау,2 Сентября 2021,+28°,+22°
Актау,3 Сентября 2021,+28°,+20°
Актау,4 Сентября 2021,+28°,+20°
Актау,5 Сентября 2021,+27°,+20°
Актау,6 Сентября 2021,+28°,+21°
Актау,7 Сентября 2021,+28°,+21°
Актау,8 Сентября 2021,+28°,+21°
Актау,9 Сентября 2021,+28°,+21°
Актау,10 Сентября 2021,+26°,+20°
Актау,11 Сентября 2021,+26°,+20°
Актау,12 Сентября 2021,+26°,+18°
Актау,13 Сентября 2021,+26°,+18°
Актау,14 Сентября 2021,+26°,+19°
Актау,15 Сентября 2021,+26°,+19°
Актау,16 Сентября 2021,+25°,+19°
Актау,17 Сентября 2021,+25°,+18°
Актау,18 Сентября 2021,+24°,+17°
Актау,19 Сентября 2021,+25°,+17°
Актау,20 Сентября 2021,+25°,+17°
Актау,21 Сентября 2021,+26°,+19°
Актау,22 Сентября 2021,+25°,+18°
Актау,23 Сентября 2021,+25°,+17°
Актау,24 Сентября 2021,+23°,+18°
Актау,25 Сентября 2021,+23°,+17°
Актау,26 Сентября 2021,+23°,+16°
Актау,27 Сентября 2021,+22°,+16°
Актау,28 Сентября 2021,+21°,+16°
Актау,29 Сентября 2021,+21°,+15°
Актау,30 Сентября 2021,+21°,+14°
Актау,1 Октября 2021,+21°,+15°
